"name","habitat"
"Northern Shoveler (Anas clypeata)","Marshes"
"Seaside Sparrow (Ammodramus maritimus)","Marshes"
"Great Black-backed Gull (Larus marinus)","Shorelines"
"Cattle Egret (Bubulcus ibis)",""
"Little Blue Heron (Egretta caerulea)","Marshes"
"Snowy Egret (Egretta thula)","Marshes"
"Tricolored Heron (Egretta tricolor)","Marshes"
"Glossy Ibis (Plegadis falcinellus)","Marshes"
"Piping Plover (Charadrius melodus)","Shorelines"
"Black Skimmer (Rynchops niger)","Shorelines"
"Common Tern (Sterna hirundo)","Shorelines"
"Least Tern (Sternula antillarum)","Shorelines"
"Gull-billed Tern (Gelochelidon nilotica)","Shorelines"
"Laughing Gull (Leucophaeus atricilla)","Shorelines"
"Forster's Tern (Sterna forsteri)","Marshes"
"King Rail (Rallus elegans)","Marshes"
"Roseate Tern (Sterna dougallii)","Shorelines"
"Black Rail (Laterallus jamaicensis)","Marshes"
"Short-eared Owl (Asio flammeus)","Grasslands"
"Summer Tanager (Piranga rubra)","Open Woodlands"
"Red-breasted Merganser (Mergus serrator)","Lakes and Ponds"
"Common Eider (Somateria mollissima)","Oceans"
"Ring-necked Duck (Aythya collaris)","Lakes and Ponds"
"Western Kingbird (Tyrannus verticalis)","Grasslands"
"Caspian Tern (Hydropogne caspia)","Shorelines"
"American Wigeon (Anas americana)","Lakes and Ponds"
"Wilson's Phalarope (Phalaropus tricolor)","Lakes and Ponds"
"Black Tern (Chlidonias niger)","Marshes"
"Lesser Scaup (Aythya affinis)","Lakes and Ponds"
"Sandhill Crane (Grus canadensis)","Marshes"
"Northern Pintail (Anas acuta)","Marshes"
"Loggerhead Shrike (Lanius ludovicianus)","Open Woodlands"
"Trumpeter Swan (Cygnus buccinator)","Lakes and Ponds"
"Golden Eagle (Aquila chrysaetos)","Grasslands"
"Eurasian Collared-Dove (Streptopelia decaocto)","Towns"
"Common Goldeneye (Bucephala clangula)","Lakes and Ponds"
"American White Pelican (Pelecanus erythrorhynchos)","Lakes and Ponds"
"Canvasback (Aythya valisineria)","Lakes and Ponds"
"Western Meadowlark (Sturnella neglecta)","Grasslands"
"Boreal Chickadee (Poecile hudsonica)","Forests"
"Philadelphia Vireo (Vireo philadelphicus)","Forests"
"Gray Partridge (Perdix perdix)","Grasslands"
"White-winged Tern (Chlidonias leucopterus)",""
"Lincoln's Sparrow (Melospiza lincolnii)","Scrub"
"Black-backed Woodpecker (Picoides arcticus)","Forests"
"American Three-toed Woodpecker (Picoides dorsalis)","Forests"
"Rusty Blackbird (Euphagus carolinus)","Forests"
"Gray Jay (Perisoreus canadensis)",""
"Tennessee Warbler (Vermivora peregrina)","Forests"
"Bay-breasted Warbler (Dendroica castanea)","Forests"
"Spruce Grouse (Falcipennis canadensis)","Forests"
"Palm Warbler (Dendroica palmarum)","Open Woodlands"
"Cape May Warbler (Dendroica tigrina)","Forests"
"Wilson's Warbler (Wilsonia pusilla)","Scrub"
"Nelson's Sharp-tailed Sparrow (Ammodramus nelsoni)",""
